교과목, 학점, 교과목코드
성서와인간이해,2,all
채플,0,all
현대사회와기독교윤리,2,all
종교와과학,2,all
글쓰기,3,all
글쓰기,3,all
발표와토의,3,all
발표와토의,3,all
영어1,2,all
영어2,2,all
영어2,2,all
영어2,2,all
영어회화1,1,all
영어회화1,1,all
영어회화2,1,all
영어회화2,1,all
영어회화2,1,all
영어회화2,1,all
철학과인간,3,core
한국근현대사의이해,3,core
역사와문명,3,core
세계화와사회변화,3,core
민주주의와현대사회,3,core
민주주의와현대사회,3,core
환경과인간,3,core
기독교와문화,2,all
영어4,2,all
영어회화4,1,all
영어회화4,1,all
창업입문,3,core
글로벌문화,3,core
글로벌문화,3,core
고전으로읽는인문학,3,core
여성·소수자·공동체,3,core
예술과창조성,3,core
우주생명마음,3,core
4차산업혁명시대의진로선택,2,all
인공지능의세계,3,core
4차산업혁명의이해,3,core
4차산업혁명을위한비판적사고,3,core
인간심리의이해,3,basic
서양철학입문,3,basic
동양철학입문,3,basic
일본의언어와문화,3,basic
조형의원리,3,basic
서양미술사입문,3,basic
색채학,3,basic
디자인사,3,basic
서양건축사,3,basic
합창지휘,3,basic
현대사회와영화,3,basic
공간디자인이해,3,basic
미술사의이해,3,basic
동서양미술과미학,3,basic
기초댄스2,2,basic
뮤지컬음악의이해2,2,basic
한국건축사,3,basic
문학과상상력의세계,3,basic
인간관계와커뮤니케이션,3,basic
미적분학1,3,basic
미적분학1,3,basic
미적분학2,3,basic
공학수학2,3,basic
공학수학2,3,basic
통계학개론,3,basic
선형대수학개론,3,basic
이산수학개론,3,basic
이산수학개론,3,basic
수치해석,3,basic
물리학1,3,basic
물리학2,3,basic
물리학2,3,basic
물리학실험2,1,basic
일반생물학,3,basic
일반생물학,3,basic
생물학2,3,basic
생물학실험2,1,basic
일반화학,3,basic
일반화학실험,1,basic
화학1,3,basic
화학1,3,basic
화학2,3,basic
화학실험2,1,basic
응용통계학,3,basic
일반생물학실험,1,basic
기술과경영,3,basic
산업경영,3,basic
스포츠테이핑,3,basic
여가와웰니스,3,basic
게임과인간심리,3,basic
운동을위한인체구조,3,basic
교양바둑,2,basic
TOEIC1,3,basic
C언어,3,basic
CAD개론,3,basic
C++Programming,3,basic
엑셀기초및실무활용,3,basic
웹프로그래밍기초,3,basic
웹과앱기초,3,basic
기독교와성결혼가정,2,general
윤리학에로초대,2,general
영화로보는역사,3,general
영화와철학,3,general
미학의이해,2,general
서양음악의이해,2,general
국악의이해,2,general
공연예술의이해와감상,2,general
사진영상미디어의이해,3,general
금융시장의이해,3,general
현대가족과부모,2,general
현대중국의이해,2,general
글로벌리더를위한글로벌매너,3,general
자기분석과직무역량개발,2,general
자기경영과실전취업준비,2,general
4차산업혁명시대기술과창업,3,general
소비자를위한생활법률,3,general
지구에서만나살아가는남자와여자,3,general
기초미적분학,3,general
교양골프,2,general
교양수영,2,general
응급처치법,3,general
교양단전호흡,2,general
교양스포츠댄스,2,general
교양탁구,2,general
교양볼링,2,general
교양테니스,2,general
교양축구,2,general
교양농구,2,general
영양과운동,3,general
장애인의이해,3,general
교양바둑입문,3,general
현대인과정신건강,3,general
뉴스포츠,2,general
교양일본어,3,general
중급한국어1,3,general
중급한국어2,3,general
비즈니스영어,3,general
초급불어,3,general
쉽게!쉽게!실생활일본어첫걸음,3,general
한국어문법초급,3,general
한국어회화초급,3,general
한국어활용초급,3,general
SNS로톡하고빅테이터로놀아보자,3,general
성공학특강,2,general
용인학,2,general
교수(이동준)세미나,1,general
교수(박장근)세미나,1,general
교수(오은엽)세미나,1,general
교수(김경래)세미나,1,general
교수(조성원)세미나,1,general
전공과진로1,1,general
전공과진로2,1,general
교육학개론,2,general
교육심리,2,general
교육평가,2,general
교육철학및교육사,2,general
특수교육학개론,2,general
교육방법및교육공학,2,general
general실무,2,general
학교폭력예방및학생의이해,2,general
영어2,2,all
영어회화2,1,all
체육사,3,general
